,user_id,email,number_of_visit,first_purchase_date,original_source
0,0,michael**$%*ka@yahoo.com,8,31/12/2021,offline
1,1,lisa**&**sa@gmail.com,4,22/12/2021,DIRECT
2,2ID,john@#***be@hotmail.com,2,01/03/2022,offline
3,3,mary^&**ki@hotmail.com,6,09/04/2021,offline
4,4,kevin$$**ta@gmail.com,10,26/07/2022,DIRECT
5,5id,thomas%%***m64@yahoo.com,3,17/12/2021,direct
6,6,daniel##*r1@gmail.com,8,25/03/2021,direct
7,7,rachel$$**b65@gmail.com,8,18/04/2022,google ads
8,ID8,charlie*&#*be@gmail.com,s7,16/12/2021,direct
9,9,emma&**y70@hotmail.com,5,06/03/2022,GOOGLE ADS
10,10,david$$$*a@gmail.com,6,13/04/2021,offline
11,11,grace###fo@yahoo.com,3,15/02/2022,social media
12,12,matt&&**do@gmail.com,sdfsdf5,30/01/2022,direct
13,13,beth@**h62@gmail.com,0,22/08/2021,SOCIAL MEDIA
14,14,luke#**f@hotmail.com,1,09/01/2022,google ads
15,15,maggie**&ho@gmail.com,1,01/03/2022,offline
16,16,brandon$$$*m@hotmail.com,"zero,0",01/04/2022,offline
17,ID17,maria*&#ro22@yahoo.com,3,01/02/2022,offline
18,18,steve*$$gr@yahoo.com,2,05/02/2022,soc media
19,19,claire#**el@hotmail.com,14,14/02/2022,direct
20,20,jason$$$*g@gmail.com,6,11/12/2021,social media
21,21,helen##*pa@gmail.com,6,14/02/2022,offline
22,22,sarah&&*ha4@gmail.com,6,02/02/2022,google ads
